7258953862|Blessing_|+27767976379|gfh|2025-05-26 14:13:29
6392837024|Blessing_|277679679|ghjk|2025-05-26 14:31:16
4209993534|Blessing_|+27767976379|sho|2025-05-26 14:56:05
1912441292|Blessing_|+277976379|hooo|2025-05-26 15:04:37
9937790078|Thato_|+27767976379|hhvg|2025-05-26 15:12:32
6707591835|Blessing_|+277976379|hii|2025-05-26 16:21:27
3166137044|Thato_|+277976379|hello Blessing who are u doing are u good though|2025-05-26 18:15:14
6957050556|Thato_|+27767976379|no|2025-05-26 18:40:40
1478079114|Thato_|+277677976379|Hello java|2025-06-13 15:39:24
3854455308|Thato_|+270659245212|8ta|2025-06-13 15:41:07
3125284714|Thato_|+27767976379|Hello I'm a java software developer what are you|2025-06-15 22:43:58
4968320048|Thato_|+27658423125|888888|2025-06-17 15:36:45|49:11:888888888888
